%@2-E(SYM=1 ADR=2 CM1=3 CM2=4)
iLLUB,X0004.0,level central lubrication,
SVF5_P01,G0126.4,P01:servo off 5th axis,
SVF6_P01,G0126.5,P01:servo off 6th axis,
SVF7_P01,G0126.6,P01:servo off 7th axis,
SVF8_P01,G0126.7,P01:servo off 8th axis,
*IT1_P01,G0130.0,P01:interlock 1st axis,
*IT2_P01,G0130.1,P01:interlock 2nd axis,
*IT3_P01,G0130.2,P01:interlock 3rd axis,
*IT4_P01,G0130.3,P01:interlock 4th axis,
*IT5_P01,G0130.4,P01:interlock 5th axis,
*IT6_P01,G0130.5,P01:interlock 6th axis,
*IT7_P01,G0130.6,P01:interlock 7th axis,
*IT8_P01,G0130.7,P01:interlock 8th axis,
*DEC1_P01,G0196.0,P01:dec. signal 1st axis,
*DEC2_P01,G0196.1,P01:dec. signal 2nd axis,
*DEC3_P01,G0196.2,P01:dec. signal 3rd axis,
*DEC4_P01,G0196.3,P01:dec. signal 4th axis,
*DEC5_P01,G0196.4,P01:dec. signal 5th axis,
*DEC6_P01,G0196.5,P01:dec. signal 6th axis,
*DEC7_P01,G0196.6,P01:dec. signal 7th axis,
*DEC8_P01,G0196.7,P01:dec. signal 8th axis,
WPRST1_P01,G0358.0,P01:wp coord preset 1st axis,
WPRST2_P01,G0358.1,P01:wp coord preset 2nd axis,
WPRST3_P01,G0358.2,P01:wp coord preset 3rd axis,
WPRST4_P01,G0358.3,P01:wp coord preset 4th axis,
WPRST5_P01,G0358.4,P01:wp coord preset 5th axis,
WPRST6_P01,G0358.5,P01:wp coord preset 6th axis,
WPRST7_P01,G0358.6,P01:wp coord preset 7th axis,
WPRST8_P01,G0358.7,P01:wp coord preset 8th axis,
MCST1_P01,G0512.0,P01:macro call 1 start,
MCST2_P01,G0512.1,P01:macro call 2 start,
MCST3_P01,G0512.2,P01:macro call 3 start,
MCST4_P01,G0512.3,P01:macro call 4 start,
MCFIN_P01,G0514.0,P01:mode change completion,
MFIN2_P02,G1004.4,P02:2nd m funct. compl. signal,
MFIN3_P02,G1004.5,P02:3rd m funct. compl. signal,
MFIN4_P02,G1004.6,P02:4th m-funct. compl. signal,
MFIN5_P02,G1004.7,P02:5th m-funct. compl. signal,
MFIN_P02,G1005.0,P02:aux. funct. compl. signal,
SFIN_P02,G1005.2,P02:sp function compl. signal,
TFIN_P02,G1005.3,P02:tool function completion,
AFL_P02,G1005.6,P02:auxiliary function lock,
BFIN_P02,G1005.7,P02:2nd aux compl. signal,
SRN_P02,G1006.0,P02:program restart signal,
OVC_P02,G1006.4,P02:override cancel signal,
ST_P02,G1007.2,P02:cycle start signal,
*FLWU_P02,G1007.5,P02:follow-up signal,
*IT_P02,G1008.0,P02:all axis interlock signal,
*CSL_P02,G1008.1,P02:cutting block start lock,
*BSL_P02,G1008.3,P02:block start lock signal,
*ESP_P02,G1008.4,P02:emergency stop signal,
*SP_P02,G1008.5,P02:feed hold signal,
RRW_P02,G1008.6,P02:reset and rewind signal,
ERS_P02,G1008.7,P02:external reset signal,
HS1A_P02,G1018.0,P02:handwheel sel. signal 1,
HS1B_P02,G1018.1,P02:handwheel sel. signal 2,
HS1C_P02,G1018.2,P02:handwheel sel. signal 3,
HS1D_P02,G1018.3,P02:handwheel sel. signal 4,
MP1_P02,G1019.4,P02:increment feed1,
MP2_P02,G1019.5,P02:increment feed2,
RT_P02,G1019.7,P02:rapid traverse select.,
HCLP_P02,G1023.3,P02:pulse gen. max. feed sel.,
SAR_P02,G1029.4,P02:spindle speed arrival,
*SSTP_P02,G1029.6,P02:spindle stop signal,
SIND_P02,G1033.7,P02:spindle mode select signal,
MD1_P02,G1043.0,P02:mode selection signal 1,
MD2_P02,G1043.1,P02:mode selection signal 2,
MD4_P02,G1043.2,P02:mode selection signal 4,
DNCI_P02,G1043.5,P02:dnc selection signal,
ZRN_P02,G1043.7,P02:ref. pos. select sign.,
BDT1_P02,G1044.0,P02:skip block (bdt1),
MLK_P02,G1044.1,P02:all axis machine lock,
BDT2_P02,G1045.0,P02:skip block signal (bdt2),
SBK_P02,G1046.1,P02:single block signal,
DRN_P02,G1046.7,P02:dry run signal,
UI000_P02,G1054.0,P02:custom macro #1000,
IGNVRY_P02,G1066.0,P02:ignore servo ready,
J1+_P02,G1100.0,P02:feed 1st axis + direction,
J2+_P02,G1100.1,P02:feed 2nd axis + direction,
J3+_P02,G1100.2,P02:feed 3rd axis + direction,
J4+_P02,G1100.3,P02:feed 4th axis + direction,
J5+_P02,G1100.4,P02:feed 5th axis + direction,
J6+_P02,G1100.5,P02:feed 6th axis + direction,
J7+_P02,G1100.6,P02:feed 7th axis + direction,
J8+_P02,G1100.7,P02:feed 8th axis + direction,
J1-_P02,G1102.0,P02:feed 1st axis -direction,
J2-_P02,G1102.1,P02:feed 2nd axis - direction,
J3-_P02,G1102.2,P02:feed 3rd axis - direction,
J4-_P02,G1102.3,P02:feed 4th axis - direction,
J5-_P02,G1102.4,P02:feed 5th axis - direction,
J6-_P02,G1102.5,P02:feed 6th axis - direction,
J7-_P02,G1102.6,P02:feed 7th axis - direction,
J8-_P02,G1102.7,P02:feed 8th axis - direction,
*+L1_P02,G1114.0,P02:overtravel + 1st axis,
*+L2_P02,G1114.1,P02:overtravel + 2nd axis,
*+L3_P02,G1114.2,P02:overtravel + 3rd axis,
*+L4_P02,G1114.3,P02:overtravel + 4th axis,
*+L5_P02,G1114.4,P02:overtravel + 5th axis,
*+L6_P02,G1114.5,P02:overtravel + 6th axis,
*+L7_P02,G1114.6,P02:overtravel + 7th axis,
*+L8_P02,G1114.7,P02:overtravel + 8th axis,
*-L1_P02,G1116.0,P02:overtravel - 1st axis,
*-L2_P02,G1116.1,P02:overtravel - 2nd axis,
*-L3_P02,G1116.2,P02:overtravel - 3rd axis,
*-L4_P02,G1116.3,P02:overtravel - 4th axis,
*-L5_P02,G1116.4,P02:overtravel - 5th axis,
*-L6_P02,G1116.5,P02:overtravel - 6th axis,
*-L7_P02,G1116.6,P02:overtravel - 7th axis,
*-L8_P02,G1116.7,P02:overtravel - 8th axis,
*+ED1_P02,G1118.0,P02:external dec. + 1st axis,
*+ED2_P02,G1118.1,P02:external dec. + 2st axis,
*+ED3_P02,G1118.2,P02:external dec. + 3rd axis,
*+ED4_P02,G1118.3,P02:external dec. + 4st axis,
*+ED5_P02,G1118.4,P02:external dec. + 5st axis,
*+ED6_P02,G1118.5,P02:external dec. + 6st axis,
*+ED7_P02,G1118.6,P02:external dec. + 7st axis,
*+ED8_P02,G1118.7,P02:external dec. + 8st axis,
*-ED1_P02,G1120.0,P02:external dec. - 1st axis,
*-ED2_P02,G1120.1,P02:external dec. - 2st axis,
*-ED3_P02,G1120.2,P02:external dec. - 3rd axis,
*-ED4_P02,G1120.3,P02:external dec. - 4st axis,
*-ED5_P02,G1120.4,P02:external dec. - 5st axis,
*-ED6_P02,G1120.5,P02:external dec. - 6st axis,
*-ED7_P02,G1120.6,P02:external dec. - 7st axis,
*-ED8_P02,G1120.7,P02:external dec. - 8st axis,
SVF1_P02,G1126.0,P02:servo off 1st axis,
SVF2_P02,G1126.1,P02:servo off 2nd axis,
SVF3_P02,G1126.2,P02:servo off 3rd axis,
SVF4_P02,G1126.3,P02:servo off 4th axis,
SVF5_P02,G1126.4,P02:servo off 5th axis,
SVF6_P02,G1126.5,P02:servo off 6th axis,
SVF7_P02,G1126.6,P02:servo off 7th axis,
SVF8_P02,G1126.7,P02:servo off 8th axis,
*IT1_P02,G1130.0,P02:interlock 1st axis,
*IT2_P02,G1130.1,P02:interlock 2nd axis,
*IT3_P02,G1130.2,P02:interlock 3rd axis,
*IT4_P02,G1130.3,P02:interlock 4th axis,
*IT5_P02,G1130.4,P02:interlock 5th axis,
*IT6_P02,G1130.5,P02:interlock 6th axis,
*IT7_P02,G1130.6,P02:interlock 7th axis,
*IT8_P02,G1130.7,P02:interlock 8th axis,
EAX6_P02,G1136.5,P02:6th axis is pmc axis,
ESOFA_P02,G1142.4,P02:servo off pmc axis group A,
OVCEA_P02,G1150.5,P02:override cancel group A,
*DEC1_P02,G1196.0,P02:dec. signal 1st axis,
*DEC2_P02,G1196.1,P02:dec. signal 2nd axis,
*DEC3_P02,G1196.2,P02:dec. signal 3rd axis,
*DEC4_P02,G1196.3,P02:dec. signal 4th axis,
*DEC5_P02,G1196.4,P02:dec. signal 5th axis,
*DEC6_P02,G1196.5,P02:dec. signal 6th axis,
*DEC7_P02,G1196.6,P02:dec. signal 7th axis,
*DEC8_P02,G1196.7,P02:dec. signal 8th axis,
WPRST1_P02,G1358.0,P02:wp coord preset 1st axis,
WPRST2_P02,G1358.1,P02:wp coord preset 2nd axis,
WPRST3_P02,G1358.2,P02:wp coord preset 3rd axis,
WPRST4_P02,G1358.3,P02:wp coord preset 4th axis,
WPRST5_P02,G1358.4,P02:wp coord preset 5th axis,
WPRST6_P02,G1358.5,P02:wp coord preset 6th axis,
WPRST7_P02,G1358.6,P02:wp coord preset 7th axis,
WPRST8_P02,G1358.7,P02:wp coord preset 8th axis,
MCST1_P02,G1512.0,P02:macro call 1 start,
MCST2_P02,G1512.1,P02:macro call 2 start,
MCST3_P02,G1512.2,P02:macro call 3 start,
MCST4_P02,G1512.3,P02:macro call 4 start,
MCFIN_P02,G1514.0,P02:mode change completion,
INIT_F_P01,R0064.0,P01:initialisation finished,
SETMEM_P01,R0080.0,P01:force to mode mem,
SETSBK_P01,R0080.1,P01:force to single block,
SETDNC_P01,R0080.2,P01:force to dnc operation,
SETEDT_P01,R0080.3,P01:force to mode edit,
SETMDI_P01,R0080.4,P01:force to mode mdi,
SETJOG_P01,R0080.5,P01:force to mode jog,
SETREF_P01,R0080.6,P01:force mode ref,
SET_HD_P01,R0080.7,P01:force to mode handle,
SETINC_P01,R0081.0,P01:force to mode inc feed,
SETTCH_P01,R0081.1,P01:force teach in,
M_AUTO_P01,R0082.0,P01:automatic mode active,
M_MAN_P01,R0082.1,P01:manual mode active,
O_STOP_P01,R0082.2,P01:optional stop m01 active,
FEPGMT_P01,R0082.3,P01:falling edge program test,
MDCHEN_P01,R0082.4,P01:mode change enable,
M_MEM_P01,R0083.0,P01:mode mem selected,
M_EDT_P01,R0083.1,P01:mode edit selected,
M_MDI_P01,R0083.2,P01:mode mdi selected,
M_DNC_P01,R0083.3,P01:mode dnc selected,
M_JOG_P01,R0083.4,P01:mode jog selected,
M_REF_P01,R0083.5,P01:mode REF selected,
M_HD_P01,R0083.6,P01:mode HANDLE selected,
M_INC_P01,R0083.7,P01:mode INC selected,
M_REFJ_P01,R0084.0,P01:jog mode during ref,
M_TEACH_P01,R0084.1,P01:mode TEACH IN selected,
D_JOGMV_P01,R0084.2,P01:delay jog move,
m_mmem_P01,R0088.0,P01:memory mode mem,
m_medt_P01,R0088.1,P01:memory mode edit,
m_mmdi_P01,R0088.2,P01:memory mode mdi,
m_mref_P01,R0088.3,P01:memory mode ref,
m_mj_P01,R0088.4,P01:memory mode jog,
m_mhdi_P01,R0088.5,P01:memory mode handle / inc,
m_mdnc_P01,R0088.6,P01:memory dnc mode,
mk_sbk_P01,R0089.0,P01:memory key single block,
reksbk_P01,R0089.1,P01:re key single block,
mkskip_P01,R0089.2,P01:memory key skip,
rekskp_P01,R0089.3,P01:rising edge key skip,
mkostp_P01,R0089.4,P01:memory key optional stop,
rekosp_P01,R0089.5,P01:re key optional stop,
mk_drn_P01,R0089.6,P01:memory key dry run,
rekdrn_P01,R0089.7,P01:rising edge key dry run,
mkpgmt_P01,R0090.0,P01:memory key program test,
repgmt_P01,R0090.1,P01:rising edge key pgm test,
m_pgmt_P01,R0090.2,P01:memory program test,
hdsel_P01,R0090.3,P01:handle selected,
incsel_P01,R0090.4,P01:inc selected,
mdrefx_P01,R0090.5,P01:memory ref without dog,
rekteach_P01,R0091.0,P01:re key teach in,
mkteach_P01,R0091.1,P01:mem key teach in,
m_tchin_P01,R0091.2,P01:memory mode teach in,
re_krest_P01,R0091.3,P01:re program restart,
mkrest_P01,R0091.4,P01:mem key program restart,
M000_P01,R0100.0,P01:stop program run,
M001_P01,R0100.1,P01:optional stop,
M002_P01,R0100.2,P01:end of program,
M003_P01,R0100.3,P01:spindle start cw,
M004_P01,R0100.4,P01:spindle start ccw,
M005_P01,R0100.5,P01:spindle stop,
M006_P01,R0100.6,P01:tool change,
M007_P01,R0100.7,,
M008_P01,R0101.0,P01:coolant on,
M009_P01,R0101.1,P01:coolant off,
M010_P01,R0101.2,,
M011_P01,R0101.3,,
M012_P01,R0101.4,,
M013_P01,R0101.5,P01:sp start cw coolant on,
M014_P01,R0101.6,P01:sp start ccw coolant on,
M015_P01,R0101.7,,
M016_P01,R0102.0,,
M017_P01,R0102.1,,
M018_P01,R0102.2,,
M019_P01,R0102.3,P01:spindle orientation,
M020_P01,R0102.4,,
M021_P01,R0102.5,,
M022_P01,R0102.6,,
M023_P01,R0102.7,,
M024_P01,R0103.0,,
M025_P01,R0103.1,,
M026_P01,R0103.2,,
M027_P01,R0103.3,P01:Cs contour ctrl on,
M028_P01,R0103.4,P01:Cs contour ctrl off,
M029_P01,R0103.5,P01:rigid tapping,
M030_P01,R0103.6,P01:end of program,
M031_P01,R0103.7,,
M032_P01,R0104.0,,
M033_P01,R0104.1,,
M034_P01,R0104.2,,
M035_P01,R0104.3,,
M036_P01,R0104.4,,
M037_P01,R0104.5,,
M038_P01,R0104.6,,
M039_P01,R0104.7,,
M040_P01,R0105.0,,
M041_P01,R0105.1,,
M042_P01,R0105.2,,
M043_P01,R0105.3,,
M044_P01,R0105.4,,
M045_P01,R0105.5,,
M046_P01,R0105.6,,
M047_P01,R0105.7,,
M048_P01,R0106.0,,
M049_P01,R0106.1,,
M050_P01,R0106.2,,
M051_P01,R0106.3,,
M052_P01,R0106.4,,
M053_P01,R0106.5,,
M054_P01,R0106.6,,
M055_P01,R0106.7,,
M056_P01,R0107.0,,
M057_P01,R0107.1,,
M058_P01,R0107.2,,
M059_P01,R0107.3,,
M060_P01,R0107.4,,
M061_P01,R0107.5,,
M062_P01,R0107.6,,
M063_P01,R0107.7,,
M064_P01,R0108.0,,
M065_P01,R0108.1,,
M066_P01,R0108.2,,
M067_P01,R0108.3,,
M068_P01,R0108.4,,
M069_P01,R0108.5,,
M070_P01,R0108.6,,
M071_P01,R0108.7,,
M072_P01,R0109.0,,
M073_P01,R0109.1,,
M074_P01,R0109.2,,
M075_P01,R0109.3,,
M076_P01,R0109.4,,
M077_P01,R0109.5,,
M078_P01,R0109.6,,
M079_P01,R0109.7,,
M080_P01,R0110.0,,
M081_P01,R0110.1,,
M082_P01,R0110.2,,
M083_P01,R0110.3,,
M084_P01,R0110.4,,
M085_P01,R0110.5,,
M086_P01,R0110.6,,
M087_P01,R0110.7,,
M088_P01,R0111.0,,
M089_P01,R0111.1,,
M090_P01,R0111.2,,
M091_P01,R0111.3,,
M092_P01,R0111.4,,
M093_P01,R0111.5,,
M094_P01,R0111.6,,
M095_P01,R0111.7,,
M096_P01,R0112.0,,
M097_P01,R0112.1,,
M100_P01,R0112.4,P01:wp coord preset all axes,
M101_P01,R0112.5,P01:wp coord preset 1st axis,
M102_P01,R0112.6,P01:wp coord preset 2nd axis,
M103_P01,R0112.7,P01:wp coord preset 3rd axis,
M104_P01,R0113.0,P01:wp coord preset 4th axis,
M105_P01,R0113.1,P01:wp coord preset 5th axis,
M106_P01,R0113.2,P01:wp coord preset 6th axis,
M107_P01,R0113.3,P01:wp coord preset 7th axis,
M108_P01,R0113.4,P01:wp coord preset 8th axis,
M112_P01,R0114.0,,
M120_P01,R0115.0,,
M128_P01,R0116.0,,
M136_P01,R0117.0,,
M144_P01,R0118.0,,
M152_P01,R0119.0,,
M160_P01,R0120.0,,
M168_P01,R0121.0,,
M176_P01,R0122.0,,
M184_P01,R0123.0,,
M192_P01,R0124.0,,
M198_P01,R0124.6,external subprogram call,
M200_P01,R0125.0,,
M208_P01,R0126.0,,
M216_P01,R0127.0,,
M224_P01,R0128.0,,
M232_P01,R0129.0,,
M240_P01,R0130.0,,
M248_P01,R0131.0,,
M256_P01,R0132.0,,
M264_P01,R0133.0,,
M272_P01,R0134.0,,
M280_P01,R0135.0,,
M288_P01,R0136.0,,
M296_P01,R0137.0,,
M304_P01,R0138.0,,
M312_P01,R0139.0,,
M320_P01,R0140.0,,
M328_P01,R0141.0,,
M336_P01,R0142.0,,
M344_P01,R0143.0,,
M352_P01,R0144.0,,
M360_P01,R0145.0,,
M368_P01,R0146.0,,
M376_P01,R0147.0,,
M384_P01,R0148.0,,
M392_P01,R0149.0,,
M_NOK_P01,R0153.0,m-code out of range,
m1code_P01,R0154.0,P01:1st m code is active,
m1codm_P01,R0154.1,P01:memory 1st m code active,
rem1co_P01,R0154.2,P01:re 1st m code active,
fem1co_P01,R0154.3,P01:fe 1st m code active,
m1cook_P01,R0154.4,P01:impulse 1st m code ok,
erm1co_P01,R0154.5,P01:range error 1st m code,
edivm1_P01,R0154.6,P01:divsion error 1st m code,
exmwm1_P01,R0154.7,P01:error writing 1st m code,
m1exec_P01,R0155.0,P01:1st m-function executed,
m1fin_P01,R0155.1,P01:1st m-function finished,
m2code_P01,R0155.2,P01:2nd m code is active,
m2codm_P01,R0155.3,P01:memory 2nd m code active,
rem2co_P01,R0155.4,P01:re 2nd m code active,
fem2co_P01,R0155.5,P01:fe 2nd m code active,
m2cook_P01,R0155.6,P01:impulse 2nd m code ok,
erm2co_P01,R0155.7,P01:range error 2nd m code,
edivm2_P01,R0156.0,P01:divsion error 2nd m code,
exmwm2_P01,R0156.1,P01:error writing 2nd m code,
m2exec_P01,R0156.2,P01:2nd m-function executed,
m2fin_P01,R0156.3,P01:2nd m-function finished,
m3code_P01,R0156.4,P01:3rd m code is active,
m3codm_P01,R0156.5,P01:memory 3rd m code active,
rem3co_P01,R0156.6,P01:re 3rd m code active,
fem3co_P01,R0156.7,P01:fe 3rd m code active,
m3cook_P01,R0157.0,P01:impulse 3rd m code ok,
erm3co_P01,R0157.1,P01:range error 3rd m code,
edivm3_P01,R0157.2,P01:divsion error 3rd m code,
exmwm3_P01,R0157.3,P01:error writing 3rd m code,
m3exec_P01,R0157.4,P01:3rd m-function executed,
m3fin_P01,R0157.5,P01:3rd m-function finished,
exr1m2_P01,R0157.6,P01:error reading 2nd m code,
exr1m3_P01,R0157.7,P01:error reading 3rd m code,
m4code_P01,R0158.0,P01:4th m-code is active,
m4codm_P01,R0158.1,P01:memory 4th m-code active,
rem4co_P01,R0158.2,P01:re 4th m-code active,
fem4co_P01,R0158.3,P01:fe 4th m-code active,
m4cook_P01,R0158.4,P01:impulse 4th m-code ok,
erm4co_P01,R0158.5,P01:range error 4th m-code,
edivm4_P01,R0158.6,P01:divsion error 4th m-code,
exmwm4_P01,R0158.7,P01:error writing 4th m-code,
m4exec_P01,R0159.0,P01:4th m-function executed,
m4fin_P01,R0159.1,P01:4th m-function finished,
exr1m4_P01,R0159.2,P01:error reading 4th m-code,
m5code_P01,R0159.3,P01:5th m-code is active,
m5codm_P01,R0159.4,P01:memory 5th m-code active,
rem5co_P01,R0159.5,P01:re 5th m-code active,
fem5co_P01,R0159.6,P01:fe 5th m-code active,
m5cook_P01,R0159.7,P01:impulse 5th m-code ok,
erm5co_P01,R0160.0,P01:range error 5th m-code,
edivm5_P01,R0160.1,P01:divsion error 5th m-code,
exmwm5_P01,R0160.2,P01:error writing 5th m-code,
m5exec_P01,R0160.3,P01:5th m-function executed,
m5fin_P01,R0160.4,P01:5th m-function finished,
exr1m5_P01,R0160.5,P01:error reading 5th m-code,
SP_CW_P01,R0176.0,P01:spindle start cw,
SP_CCW_P01,R0176.1,P01:spindle start ccw,
RE_SCH_P01,R0176.2,P01:rising edge speed change,
s_code_P01,R0180.0,P01:s_code active,
s_fin_P01,R0180.1,P01:s_code finished,
nospch_P01,R0180.2,P01:no spindle speed change,
ms_cod_P01,R0180.3,P01:memory s_code,
mspcw_P01,R0180.4,P01:manual spindle start cw,
mspccw_P01,R0180.5,P01:manual spindle start ccw,
msp_sp_P01,R0180.6,P01:manual spindle stop,
sp_m_P01,R0181.0,P01:memory spindle turning,
spccwm_P01,R0181.1,P01:memory spindle turning ccw,
s_stpc_P01,R0181.2,P01:spindle stop conditions,
aspcw_P01,R0181.3,P01:sp start cw in auto-mode,
aspccw_P01,R0181.4,P01:sp start ccw in auto-mode,
t_code_P01,R0244.0,P01:t code active,
t_fin_P01,R0244.1,P01:t code finished,
b_code_P01,R0292.0,P01:b code is active,
b_fin_P01,R0292.1,P01:b code finished,
M_K1AX_P01,R0304.0,P01:memory 1st axis selected,
M_K2AX_P01,R0304.1,P01:memory 2nd axis selected,
M_K3AX_P01,R0304.2,P01:memory 3rd axis selected,
M_K4AX_P01,R0304.3,P01:memory 4th axis selected,
M_K5AX_P01,R0304.4,P01:memory 5th axis selected,
M_K6AX_P01,R0304.5,P01:memory 6th axis selected,
M_K7AX_P01,R0304.6,P01:memory 7th axis selected,
M_K8AX_P01,R0304.7,P01:memory 8th axis selected,
M_KPLUS_P01,R0305.0,P01:memory axis plus dir.,
M_KMINUS_P01,R0305.1,P01:memory axis minus dir.,
AX_MEN_P01,R0305.2,P01:axis move enable,
PGMRUN_P01,R0320.0,P01:program running,
ST_EN_P01,R0320.1,P01:program start enable,
RE_RST_P01,R0320.2,P01:rising edge reset,
FE_RST_P01,R0320.3,P01:falling edge reset,
MESRST_P01,R0320.4,P01:message reset,
RE_KST_P01,R0320.5,P01:re key cycle start,
M_KST_P01,R0320.6,P01:memory key cycle start,
M_STDIS_P01,R0320.7,P01:message start disable,
st_dis_P01,R0324.0,P01:program start disable,
m_rst_P01,R0324.1,P01:memory reset,
delrrw_P01,R0324.2,P01:delay for rrw signal,
rrwact_P01,R0324.3,P01:reset and rewind active,
re_stl_P01,R0324.4,P01:re stl signal,
m_stl_P01,R0324.5,P01:memory stl signal,
POW_OK_P01,R0336.0,P01:power supply axis ok,
SETUP_P01,R0336.1,P01:set-up active,
AXMOV_P01,R0352.0,P01:axes moving,
SER_ON_P01,R0352.1,P01:servo on,
REFRUN_P01,R0352.2,P01:reference return active,
D_REFx_P01,R0352.3,P01:ref return without dog,
REQWP1_P01,R0353.0,P01:req wp coord preset 1st ax,
REQWP2_P01,R0353.1,P01:req wp coord preset 2nd ax,
REQWP3_P01,R0353.2,P01:req wp coord preset 3rd ax,
REQWP4_P01,R0353.3,P01:req wp coord preset 4th ax,
REQWP5_P01,R0353.4,P01:req wp coord preset 5th ax,
REQWP6_P01,R0353.5,P01:req wp coord preset 6th ax,
REQWP7_P01,R0353.6,P01:req wp coord preset 7th ax,
REQWP8_P01,R0353.7,P01:req wp coord preset 8th ax,
mwpset_P01,R0356.0,P01:mem wp coordinate setting,
COOLON_P01,R0368.0,P01:coolant on,
M_COFF_P01,R0368.1,P01:message coolant off,
cool_m_P01,R0372.0,P01:memory coolant,
coolsp_P01,R0372.1,P01:stop coolant,
mkaco_P01,R0372.2,P01:mem key auto coolant on,
rekaco_P01,R0372.3,P01:re auto coolant on,
tacoof_P01,R0372.4,P01:temporary auto coolant off,
re_cool_P01,R0372.5,P01:re key coolant,
mkcool_P01,R0372.6,P01:mem key coolant,
M_1XXX_P01,R0416.0,P01:emergency message active,
e_divfovr_P01,R0468.0,P01:error divb feed ovr,
fovrlt1_P01,R0468.1,P01:feed override 0.1<=1,
mkspon_P01,R0468.2,P01:mem key spindle on,
rekspon_P01,R0468.3,P01:re key spindle on,
mkcon_P01,R0468.4,P01:mem key coolant on,
rekcool_P01,R0468.5,P01:re key coolant,
fekcool_P01,R0468.6,P01:fe key coolant,
SP_STP_P01,R0496.0,P01:spindle stopped,
SP_RUN_P01,R0496.1,P01:spindle is turning,
SP_SAR_P01,R0496.2,P01:spindle speed arrival,
SP_ALM_P01,R0496.3,P01:spindle alarm,
SP_S_NOK_P01,R0496.4,P01:spindle speed not ok,
sr_sar_P01,R0500.0,P01:restart timer for sp_sar,
OR_FIN_P01,R0512.0,P01:sp orientation finished,
or_stp_P01,R0516.0,P01:stop spindle orientation,
REF_OK_P01,R0528.0,P01:all axis referenced,
MHD1_P01,R0544.0,P01:memory handwheel 1st axis,
MHD2_P01,R0544.1,P01:memory handwheel 2nd axis,
MHD3_P01,R0544.2,P01:memory handwheel 3rd axis,
MHD4_P01,R0544.3,P01:memory handwheel 4th axis,
MHD5_P01,R0544.4,P01:memory handwheel 5th axis,
MHD6_P01,R0544.5,P01:memory handwheel 6th axis,
MHD7_P01,R0544.6,P01:memory handwheel 7th axis,
MHD8_P01,R0544.7,P01:memory handwheel 8th axis,
X_1_P01,R0545.0,P01:memory 1 increment,
X_10_P01,R0545.1,P01:memory 10 increment,
X_100_P01,R0545.2,P01:memory 100 increment,
X_1000_P01,R0545.3,P01:memory 1000 increment,
mhdinc_P01,R0548.0,memory handle/inc mode,
hd1sel_P01,R0549.0,P01:handwheel 1st axis sel.,
hd2sel_P01,R0549.1,P01:handwheel 2nd axis sel.,
hd3sel_P01,R0549.2,P01:handwheel 3rd axis sel.,
hd4sel_P01,R0549.3,P01:handwheel 4th axis sel.,
hd5sel_P01,R0549.4,P01:handwheel 5th axis sel.,
hd6sel_P01,R0549.5,P01:handwheel 6th axis sel.,
hd7sel_P01,R0549.6,P01:handwheel 7th axis sel.,
hd8sel_P01,R0549.7,P01:handwheel 8th axis sel.,
e_mulf_P01,R0564.0,P01:error multipl. feed/rapid,
e_subf_P01,R0564.1,P01:error subtract feed/rapid,
e_mulj_P01,R0564.2,P01:error multiplication jog,
e_subj_P01,R0564.3,P01:error subraction jog,
wppsreq1_P01,R0581.0,P01:req wp coord preset 1st ax,
relb_1st_P01,R0581.1,P01:release brake 1st axis,
1st_soff_P01,R0581.2,P01:1st axis servo off,
1st_svf1_P01,R0581.3,P01:1st servo off 1st axis,
brel_1st_P01,R0581.4,P01:brake 1st axis released,
wppsreq2_P01,R0597.0,P01:req wp coord preset 2nd ax,
relb_2nd_P01,R0597.1,P01:release brake 2nd axis,
2nd_soff_P01,R0597.2,P01:2nd axis servo off,
1st_svf2_P01,R0597.3,P01:1st servo off 2nd axis,
brel_2nd_P01,R0597.4,P01:brake 2nd axis released,
wppsreq3_P01,R0613.0,P01:req wp coord preset 3rd ax,
relb_3rd_P01,R0613.1,P01:release brake 3rd axis,
3rd_soff_P01,R0613.2,P01:3rd axis servo off,
1st_svf3_P01,R0613.3,P01:1st servo off 3rd axis,
brel_3rd_P01,R0613.4,P01:brake 3rd axis released,
wppsreq4_P01,R0629.0,P01:req wp coord preset 4th ax,
relb_4th_P01,R0629.1,P01:release brake 4th axis,
4th_soff_P01,R0629.2,P01:4th axis servo off,
1st_svf4_P01,R0629.3,P01:1st servo off 4th axis,
brel_4th_P01,R0629.4,P01:brake 4th axis released,
wppsreq5_P01,R0645.0,P01:req wp coord preset 5th ax,
relb_5th_P01,R0645.1,P01:release brake 5th axis,
5th_soff_P01,R0645.2,P01:5th axis servo off,
1st_svf5_P01,R0645.3,P01:1st servo off 5th axis,
brel_5th_P01,R0645.4,P01:brake 5th axis released,
wppsreq6_P01,R0661.0,P01:req wp coord preset 6th ax,
relb_6th_P01,R0661.1,P01:release brake 6th axis,
6th_soff_P01,R0661.2,P01:6th axis servo off,
1st_svf6_P01,R0661.3,P01:1st servo off 6th axis,
brel_6th_P01,R0661.4,P01:brake 6th axis released,
wppsreq7_P01,R0677.0,P01:req wp coord preset 7th ax,
relb_7th_P01,R0677.1,P01:release brake 7th axis,
7th_soff_P01,R0677.2,P01:7th axis servo off,
1st_svf7_P01,R0677.3,P01:1st servo off 7th axis,
brel_7th_P01,R0677.4,P01:brake 7th axis released,
wppsreq8_P01,R0693.0,P01:req wp coord preset 8th ax,
